,tortuosity,centerline_length,max_geodesic_distance,volume,angle_ostium_laa,cl_cut_25_elongation,cl_cut_25_cutarea,cl_cut_50_elongation,cl_cut_50_cutarea,cl_cut_75_elongation,cl_cut_75_cutarea,radii_95,normalized_shape_index,elongation,flatness,surface_area,ostium_major_axis_length,ostium_minor_axis_length
tortuosity,1.0001318044022671,0.5492539904340623,0.221001475997234,-0.007943264321307977,0.2119294008696748,0.007898163503862157,-0.18870582217446205,0.20511797441870314,-0.2575496341289713,0.2942369463684481,-0.29279230638597503,-0.10349322819602558,0.1462648980694008,-0.013376922851745679,0.07097091330077579,0.02663682021358872,-0.04091704893513079,-0.010054653213855713
centerline_length,0.5492539904340623,1.0001318044022671,0.7676872832103474,0.4422482560812985,0.1819219746703306,0.012194841750889814,0.012457445673079324,0.05788534470239513,-0.1434893891561609,0.18839766887974566,-0.27360992886454993,0.1926880028677621,0.3291392080840681,-0.3776566098932396,-0.36797319907356385,0.5011793914176451,0.28129626394216545,0.20710280559986574
max_geodesic_distance,0.221001475997234,0.7676872832103474,1.000131804402267,0.7286371007993407,0.006413290921011133,-0.025739312314093606,0.3386309673922824,-0.03995603571236304,0.1994123843039314,0.04576268567077223,0.06170008409195212,0.47297447120947245,0.2856202405261421,-0.24634016809005652,-0.3305184364964713,0.7631163359903849,0.5181391357693075,0.3987595400392077
volume,-0.007943264321307977,0.4422482560812985,0.7286371007993407,1.0001318044022673,0.14857674107012678,-0.023082206176997716,0.728319931881231,-0.13205145253685938,0.5789187090472,-0.12034320888227766,0.38615547536118217,0.7633156764785067,0.10799383547003312,0.06292592875907672,-0.1097497178953055,0.9697212351327691,0.7306850696759886,0.6000678452909053
angle_ostium_laa,0.2119294008696748,0.1819219746703306,0.006413290921011133,0.14857674107012678,1.0001318044022671,-0.06970796812004516,0.01961087090330737,0.025453461098756132,0.056644185476781475,-0.004904895187708749,0.054303063916618606,-0.011862523466839735,0.12999073012878817,-0.18697425532819456,-0.22420280861555508,0.17082726140614504,-0.013898567600183435,0.12980445479782057
cl_cut_25_elongation,0.007898163503862157,0.012194841750889814,-0.025739312314093606,-0.023082206176997716,-0.06970796812004516,1.000131804402267,-0.20876277228843168,0.14510528200232262,-0.08071892470839982,0.054857169122921184,-0.06833544192063003,0.2284334409774777,-0.24694689357681515,-0.20723982435773133,0.23040409307470833,-0.07779812389341001,-0.009783156395828697,0.0939300763367074
cl_cut_25_cutarea,-0.18870582217446205,0.012457445673079324,0.3386309673922824,0.728319931881231,0.01961087090330737,-0.20876277228843168,1.000131804402267,-0.15321010132290808,0.5608426057543848,-0.1656346809830839,0.39060493960140436,0.7139189306955087,-0.093860221395753,0.29206931905700095,0.15906077381711467,0.6679234995413472,0.6118976858161954,0.4833482292943587
cl_cut_50_elongation,0.20511797441870314,0.05788534470239513,-0.03995603571236304,-0.13205145253685938,0.025453461098756132,0.14510528200232262,-0.15321010132290808,1.0001318044022673,-0.30219720870566297,0.3451284610653637,-0.09700656466795612,-0.022601626387045142,-0.2184490671730313,-0.12196250248007523,0.2623375836386139,-0.18115596303131246,-0.12747368897734465,-0.13340081870613943
cl_cut_50_cutarea,-0.2575496341289713,-0.1434893891561609,0.1994123843039314,0.5789187090472,0.056644185476781475,-0.08071892470839982,0.5608426057543848,-0.30219720870566297,1.000131804402267,-0.17941595430457707,0.4882958240894015,0.5170854935735145,-0.08407741161304548,0.2768521048687057,0.13074308620049008,0.5280399957869868,0.40605924496665974,0.3308643126133955
cl_cut_75_elongation,0.2942369463684481,0.18839766887974566,0.04576268567077223,-0.12034320888227766,-0.004904895187708749,0.054857169122921184,-0.1656346809830839,0.3451284610653637,-0.17941595430457707,1.0001318044022671,-0.46138919216968133,-0.060218692111756414,-0.1045552521743483,-0.031766732262843926,0.17007170667403207,-0.14171093470699722,-0.10597375672076394,-0.12223554750879294
cl_cut_75_cutarea,-0.29279230638597503,-0.27360992886454993,0.06170008409195212,0.38615547536118217,0.054303063916618606,-0.06833544192063003,0.39060493960140436,-0.09700656466795612,0.4882958240894015,-0.46138919216968133,1.0001318044022673,0.34546114032183356,-0.09001845352439651,0.18436804496799944,0.04308564518150237,0.3422176307401864,0.2574504496043623,0.21988735669372939
radii_95,-0.10349322819602558,0.1926880028677621,0.47297447120947245,0.7633156764785067,-0.011862523466839735,0.2284334409774777,0.7139189306955087,-0.022601626387045142,0.5170854935735145,-0.060218692111756414,0.34546114032183356,1.0001318044022673,-0.27769072227839303,0.045787106650996515,0.14199964116843994,0.6649479667261063,0.6039485081826232,0.559565926473586
normalized_shape_index,0.1462648980694008,0.3291392080840681,0.2856202405261421,0.10799383547003312,0.12999073012878817,-0.24694689357681515,-0.093860221395753,-0.2184490671730313,-0.08407741161304548,-0.1045552521743483,-0.09001845352439651,-0.27769072227839303,1.0001318044022676,0.014789317369057791,-0.35155033329277213,0.33080619745227713,0.11669612676032341,0.056186370673135214
elongation,-0.013376922851745679,-0.3776566098932396,-0.24634016809005652,0.06292592875907672,-0.18697425532819456,-0.20723982435773133,0.29206931905700095,-0.12196250248007523,0.2768521048687057,-0.031766732262843926,0.18436804496799944,0.045787106650996515,0.014789317369057791,1.000131804402267,0.520212524910139,0.0630033385297588,0.13429414731801187,0.021547016490517074
flatness,0.07097091330077579,-0.36797319907356385,-0.3305184364964713,-0.1097497178953055,-0.22420280861555508,0.23040409307470833,0.15906077381711467,0.2623375836386139,0.13074308620049008,0.17007170667403207,0.04308564518150237,0.14199964116843994,-0.35155033329277213,0.520212524910139,1.0001318044022673,-0.18716815401049317,-0.06276754479899879,-0.12525475274659564
surface_area,0.02663682021358872,0.5011793914176451,0.7631163359903849,0.9697212351327691,0.17082726140614504,-0.07779812389341001,0.6679234995413472,-0.18115596303131246,0.5280399957869868,-0.14171093470699722,0.3422176307401864,0.6649479667261063,0.33080619745227713,0.0630033385297588,-0.18716815401049317,1.0001318044022671,0.7273076621729267,0.5861618610799106
ostium_major_axis_length,-0.04091704893513079,0.28129626394216545,0.5181391357693075,0.7306850696759886,-0.013898567600183435,-0.009783156395828697,0.6118976858161954,-0.12747368897734465,0.40605924496665974,-0.10597375672076394,0.2574504496043623,0.6039485081826232,0.11669612676032341,0.13429414731801187,-0.06276754479899879,0.7273076621729267,1.000131804402267,0.548476399085186
ostium_minor_axis_length,-0.010054653213855713,0.20710280559986574,0.3987595400392077,0.6000678452909053,0.12980445479782057,0.0939300763367074,0.4833482292943587,-0.13340081870613943,0.3308643126133955,-0.12223554750879294,0.21988735669372939,0.559565926473586,0.056186370673135214,0.021547016490517074,-0.12525475274659564,0.5861618610799106,0.548476399085186,1.000131804402267
