feature,Q_0.01,Q_0.99,mean,std
max_geodesic_distance,34.130504779725406,63.23204786945703,46.21272282442693,5.98721388984908
centerline_length,24.094605331050698,63.94471853014276,40.164377398479985,8.668882067608243
tortuosity,1.0779348720164492,2.2372369174806903,1.2915631481198373,0.2493889739355508
radii_95,4.084376900728924,8.653836022581173,6.267036996894991,0.9926816411055852
cl_cut_25_cutarea,97.10033405540318,508.5077042525299,256.16162987060153,88.91844096484772
cl_cut_25_elongation,0.38978490492812534,0.9516754560970693,0.658087141644388,0.1393567831129183
cl_cut_50_cutarea,44.053557100312936,409.4742415022805,171.08608958084062,76.29211588412606
cl_cut_50_elongation,0.31215048413712715,0.9188303788207871,0.5523809640633032,0.13456603115392682
cl_cut_75_cutarea,8.02315757471739,369.38619457441786,105.50997881094167,76.7533274168244
cl_cut_75_elongation,0.24373753334830534,0.9273619707323174,0.5338368184072418,0.1681009909671463
volume,2617.8097027473355,13470.720108397043,6506.822484843111,2320.9636080361265
surface_area,1464.6878058671716,4589.762939513407,2683.5764471170073,671.0278147112847
normalized_shape_index,1.1912476346263419,1.3703379654202623,1.2688645671905425,0.037795115593509884
ostium_major_axis_length,17.238250420647187,36.79091204386905,26.35023803336381,4.103296594709556
ostium_minor_axis_length,10.17031997336052,24.614502433892753,17.020060102134963,3.0621749448007347
elongation,0.4805774745008101,0.9474272691963608,0.7092301969061287,0.10597910670244663
flatness,0.2832401542334723,0.5952826154034784,0.4132256442360281,0.06537888456455775
angle_ostium_laa,34.22733543706977,89.06316791184788,63.563831546896296,12.530870283605863
